Date,Time,Latitude,Longitude,Depth,Region,Type,Automatic/Manual,Magnitude,Network
2025-12-11,20:47:53.1,59.778,-153.332,125,SOUTHERN ALASKA,origin,A,2.5,AK
2025-12-11,20:35:14.3,34.483,-119.016,10,SOUTHERN CALIFORNIA,origin,A,2.0,SCSN*
2025-12-11,20:32:04.9,67.371,-156.524,5,NORTHERN ALASKA,origin,A,3.0,AK*
2025-12-11,20:25:27.7,-21.373,-70.137,10,"OFFSHORE ANTOFAGASTA, CHILE",origin,A,3.5,SC4
2025-12-11,20:24:32.0,23.234,120.663,10,TAIWAN,origin,M,3.7,MET
2025-12-11,20:24:29.2,23.155,120.507,7,TAIWAN,origin,A,4.0,MIX
2025-12-11,20:24:28.4,23.190,120.470,9,TAIWAN,origin,M,4.0,CWB*
2025-12-11,20:22:23.0,-2.100,120.630,5,"SULAWESI, INDONESIA",origin,M,2.7,BMKG*
2025-12-11,20:21:02.0,-8.860,123.050,11,"FLORES REGION, INDONESIA",origin,M,3.1,BMKG*
2025-12-11,20:17:40.3,39.476,20.424,15,GREECE,origin,A,2.9,IGEO
2025-12-11,20:17:38.0,39.421,20.556,19,GREECE,origin,M,2.9,NOA
2025-12-11,20:17:37.0,39.421,20.556,19,GREECE,origin,A,2.9,INFO*
2025-12-11,20:10:44.6,60.763,-150.913,47,"KENAI PENINSULA, ALASKA",origin,A,2.0,AK
2025-12-11,19:59:41.0,-13.610,-72.150,9,CENTRAL PERU,origin,A,3.5,LIM*
2025-12-11,19:59:37.0,-10.800,114.730,5,"SOUTH OF BALI, INDONESIA",origin,M,2.9,BMKG*
2025-12-11,19:54:31.5,39.189,28.271,10,WESTERN TURKEY,origin,A,3.1,MIX
2025-12-11,19:54:31.5,39.176,28.246,14,WESTERN TURKEY,origin,M,3.2,KOERI
2025-12-11,19:54:31.0,39.189,28.271,10,WESTERN TURKEY,origin,M,3.0,AFAD*
2025-12-11,19:53:56.0,-9.850,119.100,184,"SUMBA REGION, INDONESIA",origin,M,2.8,BMKG*
2025-12-11,19:50:26.3,45.894,2.843,6,FRANCE,origin,A,2.0,ReNaSS*
2025-12-11,19:45:05.0,-21.170,-68.970,110,"TARAPACA, CHILE",origin,M,2.9,CSN*
2025-12-11,19:40:16.5,39.162,28.248,15,WESTERN TURKEY,origin,M,2.9,KOERI
2025-12-11,19:40:16.0,39.160,28.255,8,WESTERN TURKEY,origin,A,2.8,INFO*
2025-12-11,19:40:15.0,39.160,28.255,8,WESTERN TURKEY,origin,M,2.8,AFAD
2025-12-11,19:33:58.9,48.630,26.140,3,UKRAINE-ROMANIA-MOLDOVA BDR REG,origin,M,2.9,MCSM*
2025-12-11,19:30:55.3,39.195,28.266,5,WESTERN TURKEY,origin,A,1.9,INFO*
2025-12-11,19:30:55.3,39.195,28.259,14,WESTERN TURKEY,origin,M,1.9,KOERI
2025-12-11,19:30:54.0,39.195,28.266,5,WESTERN TURKEY,origin,M,1.8,AFAD
2025-12-11,19:25:53.6,60.318,-139.673,4,"SOUTHERN YUKON TERRITORY, CANADA",origin,A,2.1,AK
2025-12-11,19:25:48.0,37.500,72.600,90,TAJIKISTAN,origin,M,4.0,NDI
2025-12-11,19:22:28.9,-30.324,-71.314,10,"COQUIMBO, CHILE",origin,A,3.4,SC4
2025-12-11,19:22:27.0,-32.020,-71.640,41,"OFFSHORE COQUIMBO, CHILE",origin,M,2.7,CSN*
2025-12-11,19:20:45.1,60.509,-139.918,5,"SOUTHERN YUKON TERRITORY, CANADA",origin,M,3.9,AK*
2025-12-11,19:20:44.0,60.531,-139.968,5,"SOUTHERN YUKON TERRITORY, CANADA",origin,A,4.2,CN
2025-12-11,19:18:52.2,60.338,-139.836,5,"SOUTHERN YUKON TERRITORY, CANADA",origin,A,2.1,AK
2025-12-11,18:59:55.8,34.485,-119.015,10,SOUTHERN CALIFORNIA,origin,A,2.2,SCSN*
2025-12-11,18:59:30.0,43.400,141.600,10,"HOKKAIDO, JAPAN REGION",origin,A,3.0,JMA*
2025-12-11,18:57:54.0,60.391,-147.762,19,SOUTHERN ALASKA,origin,A,2.9,AK
2025-12-11,18:56:44.1,58.754,-153.825,12,"KODIAK ISLAND REGION, ALASKA",origin,A,2.0,AK
2025-12-11,18:52:03.4,44.803,6.759,5,FRANCE,origin,A,2.1,ReNaSS*
2025-12-11,18:47:56.0,-6.030,122.550,10,FLORES SEA,origin,M,3.2,BMKG*
2025-12-11,18:44:48.1,40.319,-124.574,11,OFFSHORE NORTHERN CALIFORNIA,origin,A,2.2,NC
2025-12-11,18:41:26.0,39.204,28.109,7,WESTERN TURKEY,origin,M,0.9,AFAD*
2025-12-11,18:39:35.0,-9.570,121.270,21,SAVU SEA,origin,M,2.7,BMKG*
2025-12-11,18:38:03.2,-32.642,-70.485,10,"VALPARAISO, CHILE",origin,A,2.4,SC4
2025-12-11,18:37:48.4,-0.335,132.250,10,"NEAR N COAST OF PAPUA, INDONESIA",origin,M,4.4,NEIC
2025-12-11,18:37:48.0,-0.180,132.450,10,"NEAR N COAST OF PAPUA, INDONESIA",origin,M,4.3,BMKG*
2025-12-11,18:31:12.1,34.483,-119.016,11,SOUTHERN CALIFORNIA,origin,M,2.7,SCSN
2025-12-11,18:31:11.9,34.512,-119.021,10,SOUTHERN CALIFORNIA,origin,M,2.6,NEIC*
2025-12-11,18:29:20.1,-43.169,171.098,5,SOUTH ISLAND OF NEW ZEALAND,origin,M,3.4,GNS*
2025-12-11,18:29:09.0,36.471,42.294,24,IRAQ,origin,M,2.4,AFAD*
2025-12-11,18:29:05.4,34.486,-119.031,8,SOUTHERN CALIFORNIA,origin,A,2.6,SCSN*
2025-12-11,18:28:27.9,34.487,-119.017,10,SOUTHERN CALIFORNIA,origin,A,2.5,SCSN
2025-12-11,18:27:32.1,34.486,-119.015,10,SOUTHERN CALIFORNIA,origin,A,2.6,SCSN
2025-12-11,18:27:32.1,34.488,-119.018,11,SOUTHERN CALIFORNIA,origin,M,3.1,SCSN*
2025-12-11,18:27:31.7,34.504,-119.011,10,SOUTHERN CALIFORNIA,origin,M,3.0,NEIC
2025-12-11,18:26:01.0,-9.310,113.330,10,"SOUTH OF JAVA, INDONESIA",origin,M,2.5,BMKG*
2025-12-11,18:25:19.2,39.122,28.302,14,WESTERN TURKEY,origin,M,2.1,KOERI
2025-12-11,18:25:18.9,39.123,28.315,8,WESTERN TURKEY,origin,A,2.0,INFO*
2025-12-11,18:25:18.0,39.123,28.315,8,WESTERN TURKEY,origin,M,2.0,AFAD
2025-12-11,18:21:03.0,34.487,-119.020,9,SOUTHERN CALIFORNIA,origin,A,2.8,SCSN
2025-12-11,18:21:02.6,34.513,-119.014,10,SOUTHERN CALIFORNIA,origin,M,2.5,NEIC*
2025-12-11,18:17:23.0,-9.070,111.200,12,"SOUTH OF JAVA, INDONESIA",origin,M,2.6,BMKG*
2025-12-11,18:16:27.0,12.485,-90.134,11,OFF THE COAST OF EL SALVADOR,mt,A,4.1,MARN
2025-12-11,18:16:19.0,12.485,-90.146,8,OFF THE COAST OF EL SALVADOR,origin,M,4.4,MARN
2025-12-11,18:16:19.0,12.590,-90.120,1,OFF THE COAST OF EL SALVADOR,origin,M,4.4,INET*
2025-12-11,18:14:50.0,12.580,-90.090,7,OFF THE COAST OF EL SALVADOR,origin,M,3.8,INET*
2025-12-11,18:12:54.0,39.166,28.346,16,WESTERN TURKEY,origin,M,1.6,KOERI
2025-12-11,18:12:53.4,39.207,28.306,8,WESTERN TURKEY,origin,A,1.6,INFO*
2025-12-11,18:12:53.0,39.207,28.306,8,WESTERN TURKEY,origin,M,1.5,AFAD
2025-12-11,18:11:30.0,41.300,142.800,30,"HOKKAIDO, JAPAN REGION",origin,A,4.4,JMA
2025-12-11,18:11:07.2,41.583,142.432,33,"HOKKAIDO, JAPAN REGION",origin,A,5.0,GFZ
2025-12-11,18:11:06.6,41.374,142.595,47,"HOKKAIDO, JAPAN REGION",origin,M,4.8,NEIC*
2025-12-11,18:11:05.4,41.300,142.662,40,"HOKKAIDO, JAPAN REGION",origin,A,4.8,MIX
2025-12-11,18:11:05.3,41.310,142.660,41,"HOKKAIDO, JAPAN REGION",origin,M,5.0,MCSM
2025-12-11,18:11:05.2,41.619,142.301,10,"HOKKAIDO, JAPAN REGION",origin,A,4.5,SC4
2025-12-11,18:09:50.0,25.990,147.760,15,EAST OF THE VOLCANO ISLANDS,origin,A,,ARSO
2025-12-11,18:06:56.8,50.250,18.730,10,POLAND,origin,A,2.0,IGPAS*
2025-12-11,18:06:43.0,-6.010,122.550,10,FLORES SEA,origin,M,3.6,BMKG*
2025-12-11,18:06:18.0,39.169,28.305,7,WESTERN TURKEY,origin,M,1.2,AFAD*
2025-12-11,18:01:19.0,-37.787,178.890,21,"OFF E. COAST OF N. ISLAND, N.Z.",origin,M,3.2,GNS*
2025-12-11,18:00:28.0,-9.090,109.490,0,"SOUTH OF JAVA, INDONESIA",origin,M,2.9,BMKG*
2025-12-11,17:57:52.1,39.186,28.292,13,WESTERN TURKEY,origin,M,2.1,KOERI
2025-12-11,17:57:52.0,39.200,28.303,7,WESTERN TURKEY,origin,A,2.0,INFO*
2025-12-11,17:57:52.0,39.200,28.303,7,WESTERN TURKEY,origin,M,2.0,AFAD
2025-12-11,17:56:05.0,-8.780,113.560,11,"JAVA, INDONESIA",origin,M,2.6,BMKG*
2025-12-11,17:53:01.5,60.011,-152.543,84,SOUTHERN ALASKA,origin,A,2.4,AK
2025-12-11,17:53:01.0,36.018,27.483,19,DODECANESE IS.-TURKEY BORDER REG,origin,M,1.9,AFAD*
2025-12-11,17:51:29.0,14.950,122.600,6,"LUZON, PHILIPPINES",origin,A,3.0,PIVS*
2025-12-11,17:50:57.2,39.158,28.247,7,WESTERN TURKEY,origin,A,1.6,INFO*
2025-12-11,17:50:57.0,39.162,28.266,12,WESTERN TURKEY,origin,M,1.5,KOERI
2025-12-11,17:50:57.0,39.158,28.247,7,WESTERN TURKEY,origin,M,1.6,AFAD
2025-12-11,17:50:21.4,34.483,-119.018,9,SOUTHERN CALIFORNIA,origin,A,2.0,SCSN*
2025-12-11,17:50:01.0,0.310,126.020,10,MOLUCCA SEA,origin,M,3.1,BMKG*
2025-12-11,17:47:36.0,-3.300,128.700,10,"SERAM, INDONESIA",origin,M,3.3,BMKG*
2025-12-11,17:42:41.0,39.190,28.365,7,WESTERN TURKEY,origin,M,1.2,AFAD*
2025-12-11,17:38:31.3,-20.553,-69.229,10,"TARAPACA, CHILE",origin,A,2.5,SC4
2025-12-11,17:38:04.0,-20.460,-68.690,117,"POTOSI, BOLIVIA",origin,M,2.5,CSN*
2025-12-11,17:36:07.6,39.166,28.304,11,WESTERN TURKEY,origin,M,1.8,KOERI
2025-12-11,17:36:07.1,39.192,28.302,9,WESTERN TURKEY,origin,A,1.7,INFO*
2025-12-11,17:36:07.0,39.192,28.302,9,WESTERN TURKEY,origin,M,1.6,AFAD
2025-12-11,17:33:48.4,34.486,-119.020,9,SOUTHERN CALIFORNIA,origin,A,2.3,SCSN*
2025-12-11,17:33:01.9,46.523,8.373,10,SWITZERLAND,origin,A,1.1,ETHZ*
2025-12-11,17:33:01.4,39.205,28.164,8,WESTERN TURKEY,origin,M,2.8,KOERI
2025-12-11,17:33:01.3,39.211,28.161,7,WESTERN TURKEY,origin,A,2.6,INFO*
2025-12-11,17:33:01.0,39.211,28.161,7,WESTERN TURKEY,origin,M,2.4,AFAD
2025-12-11,17:31:16.0,-5.990,122.570,11,"SULAWESI, INDONESIA",origin,M,3.0,BMKG*
2025-12-11,17:30:07.0,39.223,28.158,7,WESTERN TURKEY,origin,M,1.1,AFAD*
2025-12-11,17:27:01.0,39.165,28.259,7,WESTERN TURKEY,origin,M,1.0,AFAD*
2025-12-11,17:25:42.0,39.205,28.308,7,WESTERN TURKEY,origin,M,1.0,AFAD*
2025-12-11,17:21:08.2,60.568,-139.895,6,"SOUTHERN YUKON TERRITORY, CANADA",origin,M,3.0,NEIC*
2025-12-11,17:19:01.9,37.748,-121.936,7,"SAN FRANCISCO BAY AREA, CALIF.",origin,A,2.4,NC*
2025-12-11,17:18:46.0,40.252,29.094,12,WESTERN TURKEY,origin,M,1.2,AFAD*
2025-12-11,17:18:44.8,13.160,-89.900,18,OFFSHORE EL SALVADOR,mt,M,4.9,NEIC
2025-12-11,17:18:44.8,13.160,-89.900,18,OFFSHORE EL SALVADOR,mt,M,4.9,MARN
2025-12-11,17:18:36.9,28.285,104.177,35,"EASTERN SICHUAN, CHINA",origin,A,4.7,MIX
2025-12-11,17:18:36.8,28.390,104.200,26,"EASTERN SICHUAN, CHINA",origin,M,4.7,MCSM
2025-12-11,17:18:35.5,28.177,104.391,10,"EASTERN SICHUAN, CHINA",origin,A,4.9,SC4
2025-12-11,17:18:34.8,12.860,-89.900,43,OFFSHORE EL SALVADOR,origin,M,4.9,NEIC*
2025-12-11,17:18:34.5,12.386,-89.637,10,OFF THE COAST OF EL SALVADOR,origin,M,5.1,USP
2025-12-11,17:18:34.5,28.270,104.264,10,"EASTERN SICHUAN, CHINA",origin,A,4.6,GFZ
2025-12-11,17:18:34.4,12.980,-89.819,10,OFFSHORE EL SALVADOR,origin,A,4.8,SC4
2025-12-11,17:18:33.7,28.238,104.026,16,"EASTERN SICHUAN, CHINA",origin,M,4.7,NEIC*
2025-12-11,17:18:33.5,12.863,-89.872,27,OFFSHORE EL SALVADOR,origin,A,4.9,MIX
2025-12-11,17:18:32.4,12.861,-89.901,10,OFFSHORE EL SALVADOR,origin,A,4.8,GFZ
2025-12-11,17:18:31.2,12.668,-90.015,24,OFFSHORE EL SALVADOR,origin,M,4.9,MARN
2025-12-11,17:18:27.0,12.590,-90.160,1,OFF THE COAST OF EL SALVADOR,origin,M,5.0,INET
2025-12-11,17:17:43.0,38.231,38.108,7,EASTERN TURKEY,origin,M,0.9,AFAD*
2025-12-11,17:15:28.0,37.869,41.533,10,EASTERN TURKEY,origin,M,2.0,AFAD*
2025-12-11,17:13:06.0,38.450,39.078,12,EASTERN TURKEY,origin,M,1.0,AFAD*
2025-12-11,17:09:03.0,-7.070,105.600,19,"JAVA, INDONESIA",origin,M,2.6,BMKG*
2025-12-11,17:08:16.0,39.183,28.126,7,WESTERN TURKEY,origin,M,1.5,AFAD*
2025-12-11,17:04:20.7,41.359,142.887,54,"HOKKAIDO, JAPAN REGION",origin,M,4.4,NEIC*
2025-12-11,17:04:18.5,41.331,143.016,33,"HOKKAIDO, JAPAN REGION",origin,A,4.8,GFZ
2025-12-11,17:04:18.5,41.303,142.962,35,"HOKKAIDO, JAPAN REGION",origin,A,4.5,MIX
2025-12-11,17:04:17.5,41.150,143.110,40,"HOKKAIDO, JAPAN REGION",origin,M,4.6,GSRAS
2025-12-11,17:03:54.1,34.350,26.380,8,"CRETE, GREECE",origin,M,2.7,THE
2025-12-11,17:03:22.0,39.156,28.262,7,WESTERN TURKEY,origin,M,0.9,AFAD*
2025-12-11,17:00:01.4,39.168,28.266,5,WESTERN TURKEY,origin,A,2.1,INFO*
2025-12-11,17:00:01.1,39.165,28.289,10,WESTERN TURKEY,origin,M,2.2,KOERI
2025-12-11,17:00:01.0,39.168,28.266,5,WESTERN TURKEY,origin,M,2.0,AFAD
2025-12-11,16:50:30.0,-7.030,105.420,22,"JAVA, INDONESIA",origin,M,3.2,BMKG*
2025-12-11,16:49:31.5,59.110,-152.756,70,SOUTHERN ALASKA,origin,A,2.9,AK
2025-12-11,16:46:14.0,39.251,28.097,8,WESTERN TURKEY,origin,M,1.0,AFAD*
2025-12-11,16:45:52.0,11.150,124.140,10,"LEYTE, PHILIPPINES",origin,A,3.1,PIVS*
2025-12-11,16:44:23.3,39.127,32.817,5,CENTRAL TURKEY,origin,A,1.8,INFO*
2025-12-11,16:44:23.2,39.127,32.817,5,CENTRAL TURKEY,origin,M,2.5,KOERI
2025-12-11,16:43:44.0,39.191,28.279,13,WESTERN TURKEY,origin,M,1.0,AFAD
2025-12-11,16:43:18.5,42.224,-7.912,33,SPAIN,origin,M,1.8,IGN*
2025-12-11,16:38:54.2,39.143,28.269,9,WESTERN TURKEY,origin,M,1.8,KOERI
2025-12-11,16:38:53.6,39.187,28.269,7,WESTERN TURKEY,origin,A,1.8,INFO*
2025-12-11,16:38:53.0,39.187,28.269,7,WESTERN TURKEY,origin,M,1.7,AFAD
2025-12-11,16:37:20.0,39.210,28.302,6,WESTERN TURKEY,origin,M,1.1,AFAD*
2025-12-11,16:33:54.1,-44.218,168.591,6,SOUTH ISLAND OF NEW ZEALAND,origin,A,3.2,GNS*
2025-12-11,16:26:35.6,39.217,27.986,10,WESTERN TURKEY,origin,M,2.2,KOERI
2025-12-11,16:26:35.2,39.218,28.010,11,WESTERN TURKEY,origin,A,2.8,INFO*
2025-12-11,16:26:35.0,39.218,28.010,11,WESTERN TURKEY,origin,M,2.1,AFAD
2025-12-11,16:26:00.0,36.089,27.504,23,DODECANESE IS.-TURKEY BORDER REG,origin,M,3.1,AFAD*
2025-12-11,16:25:59.0,35.970,27.370,11,"DODECANESE ISLANDS, GREECE",origin,M,3.3,THE
2025-12-11,16:25:58.7,36.010,27.306,15,DODECANESE IS.-TURKEY BORDER REG,origin,M,3.4,NOA
2025-12-11,16:21:13.0,-24.202,-66.931,214,"SALTA, ARGENTINA",origin,A,3.1,NSNA*
2025-12-11,16:20:49.0,36.047,27.470,18,DODECANESE IS.-TURKEY BORDER REG,origin,M,3.1,AFAD
2025-12-11,16:20:48.5,36.000,27.320,8,DODECANESE IS.-TURKEY BORDER REG,origin,M,3.3,THE*
2025-12-11,16:20:48.3,35.975,27.358,14,"DODECANESE ISLANDS, GREECE",origin,M,3.4,NOA
2025-12-11,16:20:48.1,35.998,27.333,8,"DODECANESE ISLANDS, GREECE",origin,M,3.2,KOERI
2025-12-11,16:20:47.6,36.000,27.320,8,DODECANESE IS.-TURKEY BORDER REG,origin,A,3.3,MIX
2025-12-11,16:18:11.0,11.270,124.300,3,"LEYTE, PHILIPPINES",origin,A,3.0,PIVS*
2025-12-11,16:14:05.4,-20.966,-69.195,10,"TARAPACA, CHILE",origin,A,2.5,SC4
2025-12-11,16:11:53.0,-7.100,105.430,11,"JAVA, INDONESIA",origin,M,3.9,BMKG*
2025-12-11,16:09:09.5,39.169,28.203,15,WESTERN TURKEY,origin,M,1.5,KOERI
2025-12-11,16:09:09.0,39.173,28.290,7,WESTERN TURKEY,origin,A,1.4,INFO*
2025-12-11,16:09:09.0,39.173,28.290,7,WESTERN TURKEY,origin,M,1.3,AFAD
2025-12-11,16:07:50.4,32.007,-93.252,5,LOUISIANA,origin,M,2.7,NEIC*
2025-12-11,16:06:57.3,39.142,28.081,10,WESTERN TURKEY,origin,M,1.8,KOERI
2025-12-11,16:06:57.0,39.193,28.105,7,WESTERN TURKEY,origin,A,1.8,INFO*
2025-12-11,16:06:56.0,39.193,28.105,7,WESTERN TURKEY,origin,M,1.7,AFAD
2025-12-11,16:05:56.0,39.125,32.857,7,CENTRAL TURKEY,origin,M,1.8,AFAD*
2025-12-11,16:02:31.3,38.470,38.078,7,EASTERN TURKEY,origin,A,1.4,INFO*
2025-12-11,16:02:31.1,38.521,38.047,4,EASTERN TURKEY,origin,M,1.4,KOERI
2025-12-11,16:02:31.0,38.470,38.078,7,EASTERN TURKEY,origin,M,1.3,AFAD
2025-12-11,16:01:45.0,39.168,28.311,7,WESTERN TURKEY,origin,M,1.0,AFAD*
2025-12-11,16:00:39.0,39.243,28.101,7,WESTERN TURKEY,origin,M,1.0,AFAD*
2025-12-11,15:57:44.0,39.227,28.139,9,WESTERN TURKEY,origin,M,1.5,AFAD*
2025-12-11,15:55:45.0,39.172,28.267,7,WESTERN TURKEY,origin,M,1.1,AFAD*
2025-12-11,15:52:20.5,19.189,-155.351,28,"ISLAND OF HAWAII, HAWAII",origin,M,2.0,HV*
2025-12-11,15:50:36.3,39.250,27.860,17,WESTERN TURKEY,origin,M,2.7,THE
2025-12-11,15:50:33.1,39.217,27.978,11,WESTERN TURKEY,origin,M,3.1,KOERI
2025-12-11,15:50:33.0,39.222,28.009,6,WESTERN TURKEY,origin,A,3.0,MIX
2025-12-11,15:50:33.0,39.222,28.009,6,WESTERN TURKEY,origin,M,3.0,AFAD*
2025-12-11,15:42:49.0,39.223,28.154,7,WESTERN TURKEY,origin,M,1.2,AFAD*
2025-12-11,15:31:14.0,-4.040,133.460,10,"NEAR S COAST OF PAPUA, INDONESIA",origin,M,3.0,BMKG*
2025-12-11,15:27:10.0,39.176,28.241,6,WESTERN TURKEY,origin,M,1.5,AFAD*
2025-12-11,15:23:57.0,39.199,28.148,7,WESTERN TURKEY,origin,M,1.1,AFAD*
2025-12-11,15:21:22.0,38.761,34.060,9,CENTRAL TURKEY,origin,M,1.1,AFAD*
2025-12-11,15:19:51.0,-7.180,129.340,202,"KEPULAUAN BABAR, INDONESIA",origin,M,3.7,BMKG*
2025-12-11,15:19:44.0,23.250,120.750,10,TAIWAN,origin,M,4.6,GSRAS
2025-12-11,15:19:41.3,23.180,120.660,8,TAIWAN,origin,M,4.7,INFO*
2025-12-11,15:19:41.1,23.137,120.605,10,TAIWAN,origin,M,4.6,MET
2025-12-11,15:19:40.8,23.180,120.660,8,TAIWAN,origin,M,4.7,CWB
2025-12-11,15:19:40.0,23.180,120.660,10,TAIWAN,mt,A,4.1,IESAS
2025-12-11,15:19:06.0,38.511,29.678,7,WESTERN TURKEY,origin,M,0.7,AFAD*
2025-12-11,15:17:30.3,18.066,-68.321,11,DOMINICAN REPUBLIC REGION,origin,M,3.4,PR*
2025-12-11,15:17:06.0,39.171,28.306,7,WESTERN TURKEY,origin,M,1.0,AFAD*
2025-12-11,15:12:13.0,39.184,28.289,7,WESTERN TURKEY,origin,M,1.1,AFAD*
2025-12-11,15:08:29.0,39.178,28.234,6,WESTERN TURKEY,origin,M,1.0,AFAD*
2025-12-11,15:05:47.0,39.240,28.954,10,WESTERN TURKEY,origin,M,1.2,AFAD*
2025-12-11,14:58:30.3,39.120,28.260,29,WESTERN TURKEY,origin,M,2.8,THE
2025-12-11,14:58:27.8,39.168,28.236,14,WESTERN TURKEY,origin,M,3.2,KOERI
2025-12-11,14:58:27.5,39.192,28.261,7,WESTERN TURKEY,origin,M,3.1,INFO*
2025-12-11,14:58:27.0,39.192,28.261,7,WESTERN TURKEY,origin,M,3.1,AFAD
2025-12-11,14:55:25.2,39.224,28.014,7,WESTERN TURKEY,origin,A,2.4,INFO*
2025-12-11,14:55:25.2,39.209,28.004,12,WESTERN TURKEY,origin,M,2.6,KOERI
2025-12-11,14:55:25.0,39.224,28.014,7,WESTERN TURKEY,origin,M,2.2,AFAD
2025-12-11,14:54:37.0,7.030,126.990,12,"MINDANAO, PHILIPPINES",origin,A,3.0,PIVS*
2025-12-11,14:53:21.0,15.093,-93.194,85,"OFFSHORE CHIAPAS, MEXICO",origin,A,4.2,UNM*
2025-12-11,14:52:29.0,-5.930,103.850,12,"SOUTHERN SUMATRA, INDONESIA",origin,M,3.2,BMKG*
2025-12-11,14:50:00.0,-8.930,117.710,8,"SUMBAWA REGION, INDONESIA",origin,M,2.5,BMKG*
2025-12-11,14:49:04.0,22.939,120.956,10,TAIWAN,origin,A,4.8,GFZ
2025-12-11,14:49:04.0,23.050,120.760,13,TAIWAN,origin,M,4.6,BMKG
2025-12-11,14:49:03.3,23.190,120.627,10,TAIWAN,origin,M,4.5,MET
2025-12-11,14:49:03.0,23.180,120.660,8,TAIWAN,origin,M,4.8,INFO*
2025-12-11,14:49:03.0,23.150,120.860,10,TAIWAN,origin,M,4.8,GSRAS
2025-12-11,14:49:02.4,23.180,120.660,8,TAIWAN,origin,M,4.7,CWB
2025-12-11,14:49:02.0,23.180,120.660,14,TAIWAN,mt,A,4.2,IESAS
2025-12-11,14:48:58.5,47.730,152.580,150,KURIL ISLANDS,origin,M,4.5,GSRAS*
2025-12-11,14:48:56.1,47.868,153.310,128,KURIL ISLANDS,origin,A,4.0,NORSAR
2025-12-11,14:48:36.0,16.700,119.990,21,"LUZON, PHILIPPINES",origin,A,3.5,PIVS*
2025-12-11,14:47:42.0,39.154,28.308,7,WESTERN TURKEY,origin,M,1.6,AFAD
2025-12-11,14:47:41.8,39.154,28.308,7,WESTERN TURKEY,origin,A,1.6,INFO*
2025-12-11,14:47:41.6,39.158,28.262,11,WESTERN TURKEY,origin,M,1.7,KOERI
2025-12-11,14:42:09.8,-6.075,122.458,56,FLORES SEA,origin,M,4.4,MET
2025-12-11,14:42:09.5,-6.276,122.172,10,FLORES SEA,origin,A,4.5,SC4
2025-12-11,14:42:08.1,-6.058,122.518,18,FLORES SEA,origin,M,4.7,INFO*
2025-12-11,14:42:07.0,-5.990,122.520,18,"SULAWESI, INDONESIA",origin,M,4.4,BMKG
2025-12-11,14:42:06.9,-6.068,122.596,10,FLORES SEA,origin,A,4.7,GFZ
2025-12-11,14:41:46.4,38.740,26.060,10,NEAR THE COAST OF WESTERN TURKEY,origin,M,2.4,THE
2025-12-11,14:41:46.1,38.744,26.085,9,NEAR THE COAST OF WESTERN TURKEY,origin,M,2.7,KOERI
2025-12-11,14:41:45.9,38.746,26.073,11,NEAR THE COAST OF WESTERN TURKEY,origin,A,2.5,INFO*
2025-12-11,14:41:45.0,38.745,26.023,7,NEAR THE COAST OF WESTERN TURKEY,origin,M,2.6,AFAD
2025-12-11,14:35:00.4,59.996,-140.579,6,SOUTHEASTERN ALASKA,origin,A,2.1,AK
2025-12-11,14:32:01.0,-3.370,140.130,10,"PAPUA, INDONESIA",origin,M,2.5,BMKG*
2025-12-11,14:29:32.8,47.552,8.167,1,SWITZERLAND,origin,A,1.7,ETHZ*
2025-12-11,14:28:24.6,19.140,-155.371,30,"ISLAND OF HAWAII, HAWAII",origin,M,3.5,HV*
2025-12-11,14:27:38.0,-2.870,130.260,10,"CERAM SEA, INDONESIA",origin,M,2.5,BMKG*
2025-12-11,14:22:04.0,39.191,28.318,7,WESTERN TURKEY,origin,M,1.2,AFAD*
2025-12-11,14:21:23.2,19.796,-155.913,25,"ISLAND OF HAWAII, HAWAII",origin,M,2.2,HV*
2025-12-11,14:15:17.0,-10.400,124.020,10,"TIMOR REGION, INDONESIA",origin,M,2.7,BMKG*
2025-12-11,13:57:16.7,45.569,3.212,5,FRANCE,origin,A,2.3,ReNaSS*
2025-12-11,13:53:37.0,11.848,-60.721,84,"TOBAGO REGION, TRINIDAD-TOBAGO",origin,A,3.6,TRN*
2025-12-11,13:49:52.9,39.154,28.321,17,WESTERN TURKEY,origin,M,1.4,KOERI
2025-12-11,13:49:52.0,39.187,28.324,11,WESTERN TURKEY,origin,A,1.4,INFO*
2025-12-11,13:49:52.0,39.187,28.324,11,WESTERN TURKEY,origin,M,1.5,AFAD
2025-12-11,13:47:21.0,37.340,72.410,80,TAJIKISTAN,origin,M,3.9,NDI
2025-12-11,13:46:43.0,40.176,32.945,7,CENTRAL TURKEY,origin,M,1.7,AFAD*
2025-12-11,13:42:02.1,47.229,7.003,21,SWITZERLAND,origin,A,2.3,ReNaSS
2025-12-11,13:37:00.5,11.395,-86.823,24,NEAR COAST OF NICARAGUA,origin,A,3.9,MARN
2025-12-11,13:36:58.0,11.340,-86.940,13,NEAR COAST OF NICARAGUA,origin,M,4.0,INET*
2025-12-11,13:35:23.5,40.917,-123.972,22,NORTHERN CALIFORNIA,origin,M,3.2,NC*
2025-12-11,13:34:46.0,39.264,28.951,13,WESTERN TURKEY,origin,M,2.1,AFAD
2025-12-11,13:34:04.0,39.231,28.939,12,WESTERN TURKEY,origin,A,1.4,INFO*
2025-12-11,13:34:03.9,39.246,28.970,11,WESTERN TURKEY,origin,M,1.3,KOERI
